language_ID,language,latitude,longitude,links,speaker_number_raw,speaker_number_numeric,speaker_number_type,vitality_status,vitality_certainty,speaker_number_year,speaker_source,source_category,source_type,access_route,source_confidence,source_urls
mula1254,Mulaha,-9.68333,147.45,"[{'url': 'https://lexibank.clld.org/languages/transnewguineaorg-mulaha', 'label': 'Mulaha'}, {'url': 'https://en.wikipedia.org/wiki/Mulaha_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q6933720', 'label': None}]",,,,extinct,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Mulaha_language']
hume1246,Humene,-9.70693,147.562,"[{'url': 'https://lexibank.clld.org/languages/transnewguineaorg-humene', 'label': 'Humene'}, {'url': 'https://en.wikipedia.org/wiki/Humene_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q11732231', 'label': None}]",(940 cited 2000 census)[1],,,,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Humene_language']
uare1241,Uare,-9.69571,147.687,"[{'url': 'https://lexibank.clld.org/languages/transnewguineaorg-uare', 'label': 'Uare'}, {'url': 'https://en.wikipedia.org/wiki/Kwale_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q6450052', 'label': None}]","1,300 (2004)[1]",,,,,,wikipedia.org,tertiary,community-curated,direct,0.45,['https://en.wikipedia.org/wiki/Kwale_language']
mekm1240,Mekmek,-4.47017,143.75,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10634', 'label': 'Mekmek'}, {'url': 'https://www.wikidata.org/entity/Q6810592', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Mekmek_language', 'label': None}]","1,036",,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10634']
chan1319,Changriwa,-4.28364,143.696,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10635', 'label': 'Changriwa'}, {'url': 'https://www.wikidata.org/entity/Q5072105', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Changriwa_language', 'label': None}]",498,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10635']
kyen1243,Kyenele,-4.66964,143.855,"[{'url': 'https://lexibank.clld.org/languages/transnewguineaorg-kyaimbarang', 'label': 'Kyenele (Kyaimbarang Dialect)'}, {'url': 'https://www.endangeredlanguages.com/elp-language/10633', 'label': 'Miyak'}, {'url': 'https://en.wikipedia.org/wiki/Kyenele_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q11732453', 'label': None}]",548,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10633']
biwa1243,Biwat,-4.39429,143.873,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10632', 'label': 'Biwat'}, {'url': 'https://grambank.clld.org/languages/biwa1243', 'label': 'Biwat'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-biwat', 'label': 'Biwat'}, {'url': 'https://en.wikipedia.org/wiki/Mundugumor_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q56352', 'label': None}]","1,642",,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10632']
bunn1240,Bun,-4.51885,143.892,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10636', 'label': 'Bun'}, {'url': 'https://www.wikidata.org/entity/Q56351', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Bun_language', 'label': None}]",194,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10636']
raoo1244,Rao,-4.85243,144.511,"[{'url': 'https://www.endangeredlanguages.com/elp-language/5326', 'label': 'Rao'}, {'url': 'https://wals.info/languoid/lect/wals_code_rao', 'label': 'Rao'}, {'url': 'https://en.wikipedia.org/wiki/Rao_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q11732596', 'label': None}]","4,000",,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/5326']
bana1292,Banaro,-4.56615,144.329,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10640', 'label': 'Banaro'}, {'url': 'https://lexibank.clld.org/languages/transnewguineaorg-banaro', 'label': 'Banaro'}, {'url': 'https://en.wikipedia.org/wiki/Banaro_language', 'label': None}, {'url': 'https://www.wikidata.org/entity/Q56858', 'label': None}]","2,569",,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10640']
abuu1241,Abu,-4.24027,144.474,"[{'url': 'https://www.endangeredlanguages.com/elp-language/10638', 'label': 'Abu'}, {'url': 'https://www.wikidata.org/entity/Q56659', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Adjora_language', 'label': None}]","2,347",,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/10638']
goro1261,Gorovu,-4.52947,144.59,"[{'url': 'https://www.endangeredlanguages.com/elp-language/2218', 'label': 'Gorovu'}, {'url': 'https://www.wikidata.org/entity/Q56355', 'label': None}, {'url': 'https://en.wikipedia.org/wiki/Gorovu_language', 'label': None}]",<20,,,,,,endangeredlanguages.com,secondary,expert-curated,direct,0.8,['https://www.endangeredlanguages.com/elp-language/2218']
